LEAD_ID,LEAD_CREATED_DATE,MARKETING_CHANNEL
b5e9b75976b38ea,2024-05-09,Channel B
aa4fde47d1483e5,2024-05-19,Channel A
545c7e5341b90a7,2024-06-22,Channel C
0afe08e857e0d23,2024-02-27,Channel A
89fece2cfd45c8d,2024-03-11,Channel C
09b19f2403625a8,2024-02-24,Channel C
345d9f63eb29d18,2024-04-26,Channel A
487db26b0271fa6,2024-06-02,Channel A
971c824205bcde2,2024-05-04,Channel A
3d44742d63f5c88,2024-03-26,Channel C
48421662b639b99,2024-06-15,Channel B
c49e6fd040afa16,2024-05-17,Channel A
2f5e88f1f87e2b2,2024-06-30,Channel C
74fcab0fd38696c,2024-06-15,Channel C
f5d0cfc60580e64,2024-05-07,Channel A
1f74646ad3e454d,2024-05-22,Channel A
a1e416f24e6913d,2024-05-28,Channel B
7f678e19ead68b1,2024-06-03,Channel A
236a4c8f035a5ff,2024-06-19,Channel B
8fd5d9932578db7,2024-04-21,Channel B
bac2dda3088dc79,2024-03-24,Channel C
3930f256853cc25,2024-03-09,Channel C
47685943be3def1,2024-06-25,Channel B
ac9de1ff789537c,2024-03-16,Channel B
58fc23b7422cb14,2024-05-20,Channel A
9376298d827e65e,2024-04-27,Channel C
98ecee944efbd7e,2024-03-05,Channel B
5116470375b8850,2024-07-05,Channel B
5f451f4a51e470a,2024-03-20,Channel C
dc24b06a6f397aa,2024-06-17,Channel C
54c282544cdccd1,2024-01-23,Channel C
0179eefe52f1bc8,2024-02-25,Channel A
b9dfe155d672398,2024-03-26,Channel A
55684f2819495cc,2024-06-04,Channel B
3857997e57596cf,2024-02-04,Channel B
70e784a03233574,2024-02-18,Channel A
35ce7ff63ed5ba9,2024-01-31,Channel A
ba7943844725c35,2024-06-06,Channel B
d7e80fe02f2ad00,2024-06-11,Channel C
8fdbd69eeb69536,2024-03-13,Channel A
77abd4c7dd7c3f5,2024-03-12,Channel A
ba5058a7c9925fb,2024-04-01,Channel C
6c464e7fb22a0d8,2024-02-03,Channel A
0a8dd34dcd52b31,2024-05-18,Channel C
c50980705410f9a,2024-04-09,Channel C
4b44f73b807d0c1,2024-04-21,Channel A
3bcf9440154927b,2024-05-02,Channel C
c6288197ac786ff,2024-03-29,Channel C
1b9194bccd99c8a,2024-04-23,Channel A
1485f91b4373c5b,2024-06-27,Channel B
aaaeff7fd58e1ca,2024-02-29,Channel A
691500dbc308247,2024-04-21,Channel A
3411811ecc3deac,2024-01-28,Channel C
4007095e103a86f,2024-05-11,Channel A
d8e5cf5b4388490,2024-02-29,Channel A
181411861cc35f5,2024-05-03,Channel C
da2e18f5604643b,2024-06-30,Channel A
e9be07e25fbe5eb,2024-02-14,Channel A
c510ef39d1aa170,2024-02-09,Channel B
35be8f23b3098e7,2024-05-20,Channel C
dff7b00c47c99f2,2024-02-12,Channel B
5b070436a5c2ebf,2024-06-25,Channel C
5313d649a90683a,2024-01-30,Channel A
ac2978dca9429b8,2024-05-16,Channel B
a15c9128edb2ddd,2024-06-10,Channel B
6fb475fb393a982,2024-04-19,Channel A
4aa566b08e05877,2024-02-06,Channel B
689e9f33b1d2ead,2024-05-18,Channel C
887f7a16429ba7d,2024-02-12,Channel C
a87226beb9e0f4f,2024-03-17,Channel C
f1dcadeafd631e5,2024-06-17,Channel A
20076e4a51a8884,2024-05-17,Channel B
577c6e11d15c4f0,2024-04-25,Channel A
1b20264ee968bf4,2024-05-25,Channel C
5b39261ceb8f2a8,2024-06-30,Channel A
2ce0bd630b12cd4,2024-06-20,Channel B
86cf3b7dc5d4a0c,2024-06-20,Channel A
cfa8adeef4d73a5,2024-02-26,Channel B
7cbe53026ef89fa,2024-05-16,Channel B
879584329b6a545,2024-03-31,Channel A
ad51f0f7d86d01f,2024-04-28,Channel A
cc69674245f01a8,2024-04-30,Channel C
87fea029273dcc5,2024-03-17,Channel C
190a91cee7e6c74,2024-04-24,Channel C
bb7f16e606ae026,2024-02-13,Channel C
db222e5b9785860,2024-05-20,Channel C
bd385f7d142940f,2024-01-28,Channel B
10d246b4f877c8e,2024-05-27,Channel B
016b178a73c771e,2024-02-04,Channel C
87a358288b39a2c,2024-02-19,Channel A
78d44443f61cd79,2024-06-06,Channel B
9bae2496eab117a,2024-02-05,Channel A
d4af85473aacb55,2024-06-18,Channel C
e9ea3aa607417cb,2024-02-03,Channel B
418b7d30c9cb63b,2024-06-24,Channel A
c1cbb651055e3eb,2024-02-27,Channel A
eb52ddc71828b29,2024-05-27,Channel C
c463a62295f4d95,2024-03-02,Channel A
f341daacded20a1,2024-06-16,Channel C
b64e5658f1c8f2e,2024-03-26,Channel C
302879a7e00f27d,2024-03-27,Channel C
5a5f65854e908a9,2024-04-27,Channel A
8185abc8a8d4c30,2024-06-05,Channel C
20ea831f6074839,2024-04-07,Channel C
db061589ecece4f,2024-04-08,Channel C
00984672b93049d,2024-03-02,Channel A
e3597d4522b89b3,2024-07-02,Channel B
69b78bea55e7326,2024-03-16,Channel C
cfbd6caf5207818,2024-04-23,Channel C
d39aea1f936dffc,2024-05-14,Channel C
26f7175ab2e0205,2024-02-28,Channel C
f3886809b410a17,2024-05-01,Channel B
49133e92e7397b1,2024-06-27,Channel C
9af13c392dd431c,2024-05-12,Channel C
5edf8b7dbcb756b,2024-04-28,Channel C
50ea14a923698f5,2024-02-10,Channel B
79ec9a640eabeee,2024-05-23,Channel C
72e0f448b077631,2024-02-11,Channel C
51633e658ce1ead,2024-01-30,Channel A
f390fd5eb604f5c,2024-03-22,Channel C
4f369127faf9df2,2024-04-12,Channel C
f6d6dd94873e601,2024-03-14,Channel B
b93f0f022e34c43,2024-06-21,Channel A
657d6311f95f5cc,2024-03-31,Channel C
3c3cd626dc1d622,2024-02-19,Channel C
a457c159e5a23ce,2024-06-11,Channel C
b7526cfb40e2724,2024-04-16,Channel A
bb5a527ee2979ca,2024-02-09,Channel A
a2bc3b3ff4d7ac1,2024-04-14,Channel B
8e3dade7389f07c,2024-03-29,Channel B
b9790067b7beffa,2024-02-16,Channel C
043d8e806e4f6cb,2024-06-28,Channel A
9f4fd0ae59fe88f,2024-04-27,Channel C
c8be005540ee90a,2024-06-13,Channel C
54f583f00d9fcd6,2024-02-23,Channel A
ca0d0a8f10b2852,2024-03-02,Channel B
53fe929b6e16512,2024-04-19,Channel C
bbee9fc733266ad,2024-06-15,Channel C
ebd2256c425c423,2024-02-26,Channel C
0bfe95b4a3bcd99,2024-05-12,Channel C
cf0fda404d6783e,2024-02-12,Channel B
e0914b366b7de2f,2024-04-11,Channel A
12c999d47a537d3,2024-03-19,Channel A
b7e40803ab3b46e,2024-02-04,Channel A
0872f30f7a5ba41,2024-06-12,Channel A
5d2f7bb1c7f9318,2024-04-12,Channel C
87be552671f19b1,2024-05-03,Channel B
9a93df6fea7746e,2024-04-08,Channel B
807ec3c72256244,2024-04-30,Channel C
392bcefe0f07b77,2024-06-22,Channel B
f946b2ec814e981,2024-06-19,Channel C
37cf4766953dfdd,2024-01-28,Channel B
f49b60f73a21830,2024-03-03,Channel C
dbc97746f9f1dd9,2024-04-29,Channel C
b57eb8682f05fe2,2024-02-26,Channel B
ecf0bbad8f27727,2024-04-03,Channel A
392d632254fec60,2024-05-28,Channel A
91e58bdf076bf4b,2024-02-25,Channel A
737b7b42c259944,2024-06-03,Channel C
05d6c4476ba108d,2024-04-06,Channel B
6d4384bf6abbf04,2024-05-14,Channel B
096623e8fe55cbb,2024-05-30,Channel A
c11cc79aec72704,2024-04-26,Channel C
7ea8d9040d5a6e8,2024-05-04,Channel B
93344a752e6ed3b,2024-03-30,Channel B
5493a390bcf399d,2024-04-18,Channel C
6bfbfde2022935d,2024-04-09,Channel C
4ee9d3fdcc57c7e,2024-06-22,Channel A
acc223f1be80e30,2024-03-22,Channel B
f3876263b258425,2024-03-21,Channel C
f6162704088027a,2024-06-25,Channel C
a5c6b5581df8961,2024-04-18,Channel A
e1aa792f020390a,2024-06-18,Channel A
30dc169b146ac1f,2024-02-10,Channel A
832982e5f77ea8b,2024-04-29,Channel C
f931444d6f33698,2024-04-09,Channel B
27588ded240b063,2024-06-19,Channel A
9484f82d8da3ce3,2024-05-08,Channel A
1307fafa9b30800,2024-05-27,Channel C
5b8dbd5bec72ecf,2024-03-04,Channel B
5df97cd3e021262,2024-02-29,Channel C
67c87c5f6094e35,2024-06-23,Channel A
37279b8dc4df54d,2024-06-24,Channel A
13dcdf0b0ffe3ba,2024-04-19,Channel C
944b94a5e8d5892,2024-03-20,Channel A
374769fc1f14cb8,2024-05-19,Channel A
8b108928dc482e9,2024-06-30,Channel A
56e609ab1fc8986,2024-02-28,Channel B
bde267ec1f99e0a,2024-05-05,Channel B
ab93cc02358d074,2024-06-12,Channel C
dfb31fb41ed68b7,2024-04-30,Channel C
3c3415aa2c300d9,2024-03-17,Channel B
204469c610c9fb5,2024-04-17,Channel C
ff2004d735e8322,2024-05-05,Channel C
24da3738984f2da,2024-04-09,Channel A
9834f01de93114b,2024-05-09,Channel A
9f877f724ecddb9,2024-05-06,Channel C
8eedc6fec07dcda,2024-03-14,Channel A
a26cd710cbf1144,2024-04-02,Channel A
93c926ed294f977,2024-03-21,Channel A
694be7fb257a02e,2024-03-16,Channel C
d2232de386d9bf9,2024-04-28,Channel B
a992a80de588161,2024-06-09,Channel C
c2526f9746d183b,2024-05-30,Channel C
5b92323234ec75c,2024-05-06,Channel A
6ea0ffb1b48dae9,2024-02-02,Channel C
de0c69900b06902,2024-04-22,Channel C
92998ca337e96f6,2024-04-24,Channel A
ddbfe9ffee1d577,2024-02-04,Channel B
96e63ed01a7bb66,2024-05-16,Channel A
1422f1bdf375050,2024-04-01,Channel C
766218ef8a16653,2024-06-25,Channel B
507348f352361d3,2024-04-14,Channel B
8fe86c672f98023,2024-04-26,Channel B
0cad876d80f394f,2024-03-11,Channel C
8620699fdb5c124,2024-03-18,Channel A
d5877a181b74212,2024-03-10,Channel C
54484e9027311fe,2024-02-10,Channel C
453e442bbd7455b,2024-06-10,Channel B
46c1224895ff66b,2024-04-24,Channel C
18885fff04cac45,2024-06-19,Channel C
