LEAD_ID,CASE_OPENED_DATE,CASE_CLOSED_SUCCESSFUL_DATE,SALES_FUNNEL_STEPS
cd19e33bf006bfa,2024-06-08,,Sales Call 1
f4393c6d7ee6891,2024-03-22,2024-03-25,Sales Call 1
f28e7b7c5295bbc,2024-04-22,2024-04-23,Sales Call 1
9bae2496eab117a,2024-03-10,2024-03-10,Sales Call 2
abb172d2a478338,2024-03-21,2024-03-24,Sales Call 1
0d55e818b2f8cff,2024-02-24,,Sales Call 1
2fa661627a44939,2024-06-23,2024-06-23,Sales Call 2
f7c6bc4c69d5b53,2024-05-08,2024-05-10,Sales Call 1
a6529715aa32d2a,2024-07-03,2024-07-05,Sales Call 1
9b4e1ef7320e8ea,2024-04-30,,Sales Call 2
fe77f55e814f415,2024-02-24,,Sales Call 1
101ff6af6567367,2024-05-04,2024-05-04,Sales Call 2
54f583f00d9fcd6,2024-03-19,2024-03-22,Sales Call 1
7f4b3347ed951ea,2024-03-20,,Sales Call 1
460f49f72c830f7,2024-03-14,,Sales Call 1
09fc169d66e381d,2024-07-01,2024-07-01,Sales Call 2
0b39f02d013007d,2024-06-16,2024-06-16,Sales Call 1
f7febff72a39df4,2024-03-22,2024-03-25,Sales Call 1
8554e852e11eb87,2024-06-23,2024-06-23,Sales Call 1
4f05d94410adacd,2024-03-12,,Sales Call 1
e76975d60cc31e1,2024-06-12,2024-06-14,Sales Call 1
fe32ed462c637b7,2024-06-14,2024-06-14,PV System Sold
416360585199d31,2024-03-21,,Sales Call 1
0663ce7f89c7afd,2024-05-26,2024-05-26,Sales Call 2
cc649b3805f89e3,2024-06-02,2024-06-02,Sales Call 1
a330bad6c63385c,2024-04-20,2024-04-20,PV System Sold
0979ddfc806660c,2024-07-05,2024-07-06,PV System Sold
63dd626e77ac706,2024-02-23,2024-02-25,Sales Call 1
15c792020f8bd0d,2024-07-08,2024-07-09,Sales Call 1
c050c4fda776519,2024-07-15,2024-07-15,Sales Call 1
7e91290decf8ee6,2024-05-24,2024-05-25,Sales Call 1
0b8deaaaa45edb1,2024-07-30,2024-07-30,PV System Sold
c4db0c3ab4b6a60,2024-05-21,2024-05-21,Sales Call 1
b3cd3242426cb45,2024-05-04,2024-05-05,PV System Sold
0f7fc4c938993d9,2024-04-13,2024-04-14,Sales Call 1
636cf295906f43a,2024-07-06,2024-07-06,Sales Call 1
f057a60c4d82aa6,2024-06-06,2024-06-07,Sales Call 1
e1cc0027493a53a,2024-06-17,2024-06-17,Sales Call 1
38907cb5cad7be3,2024-02-29,2024-03-02,Sales Call 1
6f6801119870163,2024-03-17,2024-03-19,Sales Call 1
5cb00983ca5278e,2024-06-26,2024-06-28,PV System Sold
c8ef0a07310097e,2024-07-07,2024-07-08,Sales Call 2
d1de8f05ba8e95d,2024-05-18,2024-05-19,Sales Call 1
ef571b7d30ae55b,2024-06-08,2024-06-09,Sales Call 1
3f2dac051c2c21e,2024-02-24,2024-02-26,Sales Call 1
aeb2bd6dd0465f2,2024-05-29,2024-05-29,Sales Call 2
55db7c0476a9990,2024-04-13,2024-04-13,Sales Call 1
46f0af5ba234189,2024-04-04,2024-04-06,Sales Call 1
0eb2e9534634031,2024-03-17,2024-03-17,PV System Sold
751fa848a3dc365,2024-03-13,2024-03-16,Sales Call 1
c37b0f9f0d00e92,2024-07-03,2024-07-05,Sales Call 1
07946e61893e3a5,2024-07-13,2024-07-13,Sales Call 2
4ee999bb0a78fec,2024-03-08,,Sales Call 1
7989f4ac6a55220,2024-06-21,2024-06-21,Sales Call 1
77ac7b10e97ce74,2024-04-06,2024-04-06,Sales Call 1
90ebce2ffd145d3,2024-06-22,2024-06-23,Sales Call 1
3ebdc04f65b5a02,2024-04-13,2024-04-14,Sales Call 1
959e3637b28a50f,2024-05-17,2024-05-18,Sales Call 1
747802cb245c08b,2024-03-19,2024-03-22,Sales Call 1
cf8c65575cc61d6,2024-05-27,2024-05-27,Sales Call 1
cd7b43e01190050,2024-07-20,2024-07-21,Sales Call 1
73e002b4cb8873f,2024-07-15,2024-07-15,PV System Sold
0856e8ab3200aa0,2024-05-09,2024-05-10,Sales Call 1
ab169d9c2f78834,2024-04-17,2024-04-19,Sales Call 1
b1f9c003e5a9121,2024-07-13,2024-07-14,Sales Call 1
532afe48d3532e0,2024-02-20,2024-02-23,Sales Call 1
1ba5c1d25357b69,2024-07-15,2024-07-16,Sales Call 1
fe478030af06281,2024-06-06,2024-06-07,Sales Call 1
4ee10b5ba8844d7,2024-04-30,2024-04-30,Sales Call 1
de22d53ea979126,2024-06-23,2024-06-23,Sales Call 2
aabffc58cb3d1f1,2024-07-17,,Sales Call 1
456a6fdc7402245,2024-06-18,2024-06-18,Sales Call 1
3b4d2326245b699,2024-03-23,2024-03-26,Sales Call 1
6756fd3774ebcf9,2024-06-30,2024-06-30,Sales Call 1
27d7fbb85fa962a,2024-06-30,2024-06-30,Sales Call 1
20d88bd7fb9e94e,2024-04-04,,Sales Call 1
c1c197d5df3b086,2024-04-04,2024-04-06,Sales Call 1
177a74743ee3364,2024-06-08,,PV System Sold
0b7b769cc5a0a13,2024-05-25,2024-05-26,Sales Call 1
5c4ec0a6c767575,2024-04-04,2024-04-06,Sales Call 1
b408fe726dc2e76,2024-06-09,2024-06-09,Sales Call 1
fd61b30cb449157,2024-03-14,2024-03-17,Sales Call 1
0ccb00587eca0a4,2024-06-19,2024-06-21,Sales Call 1
38aad81ec735534,2024-07-15,2024-07-15,Sales Call 2
15462d045813f20,2024-03-26,2024-03-26,Sales Call 2
